Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Misc,Nature of Case,Violation Charged #1,#2,#3,#4,#5,SNspect INjNred,Officer Injured,Proper Procedure,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-04,Y,N,Y,N,N,N,N,N,422,422,2800.2,243(e)(l) 242,,3056,Y,,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/1v2004 ,N,N,Y,N,N, Y, Y,5150,647(f),,,,,Y,,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
6/1.2/2004,Y,N,Y,N,N,Y,N,N,594(b)(l),647(f),243(b),594(b)(l) 3056,,,Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6!12i2.004 ,N,N,Y,N,N,N,N,N,273.5,273.5,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/16/04,Y,N,Y,Y,N, Y,415,245(a)(l),243,242 600(a),,,Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,,
611112004,N,N,Y,N, N,N,N,5150,5150,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/04,N,N,Y,N,N,N,N,N,N,496(a),496(a),476,148(a)(l),,,,,Y, ,,,,,,,,,,,,,,,,,,,,,,,
0/00/0000,Y,N,N,N,N,415,148(a)(l),12.1.3,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/00/0000,N,Y,N,N,N,N,N,415,3056,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
0/00/0000,N,Y,N,N,N,N,N,5150,647(f),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
0/00/0000,N,Y,N,N, N,N,N,24400,148(a)(l),,,,,,,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/04,N,N,Y,N,N,N,N,Y,5200(a),5200(a),148(a)(l),12500(a) 16028(a),,308,,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/30/04,N,N,Y,N,N,N, Y,647(f),148(a)(l),647(f),,,,,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
30/2004,Y,N,Y,N,N,N,N,Y,21950.1,11377(a),11364,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/2/04,Y,N,N,N,N,N,N,N,24601,11378,11379(a),1202l(a)(l)l2025(a)(1)203l(a)(l:,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/3/04,N,N,Y,N,N,N,N,N,602,69,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/5/04,N,N,N,N,N,Y,N,N,Susp person,11350(a),148(a)(l),,,,,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/5/04,Y,N,Y,N,N,Y,N,N,5200,11378,11379(a),11377(a),,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/l0/:2.()04 ,N,N,Y,N,N, N,N,N,11532(a),l,1532(a),,,,,,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,
7/12/04,Y,N,Y,N,N,Y,N,N,21650.1,21650.1,148(a)(l),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/13/04,N,N,N,N,N,Y,N,Y,Warrant,1551,148(a)(l),69 529.3,,243(b),Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/14/04,N,N,Y,N,N,N,N,N,12.17(b),12.17(b),148(a)(l),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/14/04,N,N,Y,N,N,N,N,N,5150 5150,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/20/04,N,N,Y,N,N,N,N,Y,Warrant 11364,,69,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/21/04,Y,N,Y,N,N,N,N,Y,415 11377(a),,11364,3056,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/22/04,N,N,Y,N,N,N,N,N,243.2 148(a),,243.2,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/30/04,Y,N,Y,N,N,Y,N,N,602(0),11377(a),243,69,602(0),,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/04,N,N,Y,N,N,N,N,Y,5150 5150,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
2/14/04,N,N,Y,N,N,N,N,N,21650.1,11377(a),148(a)(l),2800(a),466,,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/04,N,N,Y,N,N,N,N,Y,415 273(a),,148(a)(l),3056,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
ll9l20Q4,Y,N,Y,N,N,N,N,N,21650 2800.2,,12025,12031,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/J0/2004,N,N,Y,N,N,N,N,Y,415 11350(a),,1203.2,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/1/04,N,N,Y,N,N,Y,.N,N,415 11377(a),,3056,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/1/04,N,N,Y,N,N,N,N,Y,23152(a)(b) 23152(a)(b),,,1203.2(a),,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
8/3/04,N,N,N,N,N,Y,N,N,21201(d) 11364,,135,148(a)(l),3056,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/6/04,N,N,Y,N,N,N,N,Y,415 148.9,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/2/04,N,N,N,N,N,Y,N,N,N,21202,l,1377(a) 4140,,11364,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/04,N,N,Y,N,N,N,N,Y,Susp. Person,647(f),,1203.2(a),,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
8/12/04,N,N,N,N,N,Y,N,N,5150 5150,,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/12/04,N,N,N,N,N,Y,N,N,Susp. Vhcl,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
0/00/0000,N,N,Y,N,N,N,N,Y,21955 243(b),,21955,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
0/00/0000,N,N,Y,N,N,N,N,Y,647(f) 647(f),,849(b),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
0/00/0000,N,N,Y,N,N,N,N,Y,459 459,,242,182,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
0/00/0000,N,N,Y,N,N,N,N,N,11377(a) l,1377(a),,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
8/21/04,N,N,Y,Y,N,N,N,N,273.5,273.5,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/25/04,N,N,N,N,N,Y,N,N,21663,l,1350(a),11364,3056,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
8/25/04,N,N,Y,N,N,Y,N,N,415,647(f),148(a)(l),242,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/28/04,N,N,Y,N,N,N,N,N,24603(e),16028(a),24603(e),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/30/04,Y,N,N,N,N,N,N,N,647(g),647(g),1203.2,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/31/04,N,N,Y,N,N,N,N,N,warrant,12316(b)(l),148(a)(l),3056,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/31/04,N,N,Y,N,N,N,N,N,415,148(a)(l),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/1/04,N,N,N,N,N,Y,N,N,11379,11379,11378,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/4/04,N,N,Y,N,N,N,N,Y,314.1,11378,314.1,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/6/04,N,N,Y,N,N,N,N,Y,1085l(a),1085l(a),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/8/04,N,N,N,N,N,Y,N,N,647(h),5150,148(a)(l),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/15/04,N,N,Y,N,N,Y,N,N,27206,148(a)(l),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/17/04,N,N,Y,N,N,N,N,Y,21954(a),148(a)(l),21954(a),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/18/04,Y,N,N,N,N,N,N,N,415(1),415(1),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
120/2004,N,N,Y,N,N,N,N,N,22350,22350,2800(a),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/22/04,N,N,Y,N,N,N,N,Y,5150,5150,,,,,Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
2      ,N,N,Y,N,N,N,N,N,21650.1,2800(a),647(f),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/23/04,Y,N,N,N,N,Y,N,N,10851 10851,,496(d),496(a),148(a)(l),,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
