Date,Baton,Gun,Hands,K9,OC,Taser,Sage,SNspect INjNred,Officer Injured
9/5/07,N,N,Y,N,N,N,N,Y,N
9/8/07,N,N,Y,N,N,Y,N,Y,N
9/10/07,N,N,N,N,N,Y,N,Y,N
9/12/07,N,N,N,Y,N,N,N,N,N
9/13/07,N,N,N,N,N,N,N,N,N
9/13/07,N,N,N,N,N,N,N,N,N
9/14/07,N,N,N,N,N,N,N,N,N
9/16/07,N,N,N,N,N,N,N,N, N
9/18/07,N,N,N,N,N,N,N,N,N
9/18/07,N,N,N,N,N,N,N,N,N
9/21/07,N,N,N,N,N,N,N,N,N
9/23/07,N,N,N,N,N,N,N,N,N
9/27/07,N,N,Y,N,N,N,N,Y,N
9/27/07,N,N,Y,N,N,N,N,N,N
9/27/07,N,N,N,N,N,N,N,N,N
9/28/07,N,N,N,N,N,N,N,N,N
10/2/07,N,N,Y,N,N,N,N,N,N
10/2/07,N,N,N,N,N,N,N,N,N
10/7/07,N,N,N,N,N,N,N,Y,N
10/10/07,N,N,N,N,N,N,N,N,N
10/12/07,N,N,Y,N,N,Y,N,Y,N
10/13/07,N,N,N,N,N,Y,N,N,N
10/13/07,N,N,Y,N,N,N,N,Y,N
10/15/07,N,N,Y,N,N,N,N,N,Y
10/18/07,N,N,Y,N,N,N,N,N,Y
10/18/07,N,N,N,N,N,N,N,N,Y
10/19/07,N,N,Y,N,N,N,N,N,N
10/25/07,N,N,N,N,N,Y,N,Y,N
10/25/07,N,N,N,N,N,Y,N,N,Y
10/27/07,N,N,N,N,N,Y,N,Y,N
10/28/07,N,N,N,N,N,Y,N,Y,N
11/3/07,N,N,N,N,N,Y,N,N,N
11/6/07,N,N,Y,N,N,N,N,N,N
11/8/07,N,N,Y,N,N,N,N,Y,N
11/9/07,N,N,N,N,N,Y,N,Y,N
