Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Suspect Injured,Officer Injured,Day,Month,Year
2005-12-19,0,0,1,0,0,0,0,0,0,19,12,2005
2005-12-23,0,0,1,0,0,0,0,1,0,23,12,2005
2005-12-25,0,0,1,0,0,1,0,1,0,25,12,2005
2005-12-27,0,0,1,0,0,1,0,1,0,27,12,2005
2005-12-29,0,0,0,0,1,0,0,0,0,29,12,2005
2005-12-31,0,0,1,0,0,0,0,1,0,31,12,2005
2005-12-31,0,0,1,0,0,1,0,1,0,31,12,2005
2006-01-01,0,0,1,0,0,0,0,0,0,1,1,2006
2006-01-02,0,0,0,0,0,1,0,0,0,2,1,2006
2006-01-05,0,0,1,0,0,0,0,0,0,5,1,2006
2006-01-08,0,0,1,0,0,1,0,1,0,8,1,2006
2006-01-09,0,0,1,0,0,1,0,0,0,9,1,2006
2006-01-12,0,0,1,0,0,0,0,0,0,12,1,2006
2006-01-13,1,0,1,0,0,1,0,1,0,13,1,2006
2006-01-19,0,0,1,0,0,0,0,0,0,19,1,2006
2006-01-19,0,0,1,0,0,0,0,0,0,19,1,2006
2006-01-24,0,0,0,0,0,1,0,0,0,24,1,2006
2006-01-24,1,0,0,1,0,1,0,1,1,24,1,2006
2006-01-26,0,0,1,0,0,0,0,0,0,26,1,2006
2006-01-28,1,0,1,0,0,1,0,1,0,28,1,2006
2006-02-01,0,0,1,0,0,1,0,1,1,1,2,2006
2006-02-02,0,0,0,0,0,1,0,1,0,2,2,2006
2006-02-09,0,0,1,0,0,0,0,0,0,9,2,2006
2006-02-09,0,0,1,0,0,1,0,1,0,9,2,2006
2006-02-13,1,0,0,0,0,0,0,1,1,13,2,2006
2006-02-13,0,0,0,0,0,1,0,1,0,13,2,2006
2006-02-15,0,0,1,0,0,1,0,1,1,15,2,2006
2006-02-16,0,0,1,0,0,1,0,0,0,16,2,2006
2006-02-18,0,0,0,0,0,1,0,1,0,18,2,2006
2006-02-19,0,0,1,0,0,0,0,0,0,19,2,2006
2006-02-20,0,0,1,0,1,0,0,0,0,20,2,2006
2006-02-22,0,0,1,0,0,0,0,1,1,22,2,2006
2006-02-23,1,0,1,0,0,1,0,1,1,23,2,2006
2006-02-25,0,0,1,0,0,1,0,0,0,25,2,2006
2006-02-28,0,0,1,0,0,0,0,1,1,28,2,2006
2006-02-28,0,0,1,0,0,0,0,0,0,28,2,2006
2006-03-02,0,0,1,0,0,0,0,0,0,2,3,2006
2006-03-03,0,0,1,0,0,1,0,0,0,3,3,2006
2006-03-07,0,0,1,0,0,0,0,1,0,7,3,2006
2006-03-07,0,0,1,0,0,0,0,0,0,7,3,2006
2006-03-07,0,0,1,0,0,0,0,0,0,7,3,2006
2006-03-08,0,0,1,0,0,0,0,1,0,8,3,2006
2006-03-13,0,0,1,0,0,0,0,1,0,13,3,2006
2006-03-18,0,0,0,0,1,0,0,0,0,18,3,2006
2006-03-18,1,0,1,0,0,1,0,1,0,18,3,2006
2006-03-18,0,0,1,0,0,1,0,0,0,18,3,2006
2006-03-19,0,0,1,0,0,0,0,0,0,19,3,2006
2006-03-20,0,0,1,0,0,0,0,0,0,20,3,2006
2006-03-21,0,0,1,0,0,1,0,1,0,21,3,2006
2006-03-25,0,0,1,0,0,1,0,1,0,25,3,2006
2006-04-02,0,0,1,0,0,0,0,0,0,2,4,2006
2006-04-03,0,0,0,0,0,1,0,1,0,3,4,2006
2006-04-03,0,0,1,0,0,0,0,0,0,3,4,2006
2006-04-04,0,0,1,0,0,0,0,0,0,4,4,2006
2006-04-04,0,0,1,0,0,0,0,0,0,4,4,2006
2006-04-07,0,0,1,0,0,1,0,1,0,7,4,2006
2006-04-11,0,0,0,0,0,1,0,1,0,11,4,2006
2006-04-12,0,0,1,0,0,1,0,0,0,12,4,2006
2006-04-12,0,0,1,0,0,0,0,1,0,12,4,2006
2006-04-13,0,0,1,0,0,0,0,1,0,13,4,2006
2006-04-15,0,0,1,0,0,0,0,0,0,15,4,2006
2006-04-18,0,0,0,1,0,1,0,1,0,18,4,2006
2006-04-19,0,0,0,0,0,1,0,1,0,19,4,2006
2006-04-19,0,0,1,0,0,0,0,0,0,19,4,2006
2006-04-19,0,0,1,0,0,0,0,1,0,19,4,2006
2006-04-20,0,0,0,0,0,1,0,1,0,20,4,2006
2006-04-22,0,0,1,0,0,0,0,1,0,22,4,2006
2006-04-22,0,0,1,0,0,0,0,1,0,22,4,2006
2006-04-25,0,0,0,0,0,1,0,0,0,25,4,2006
2006-04-26,0,0,1,0,0,0,0,0,1,26,4,2006
2006-04-28,0,0,0,0,0,1,0,1,0,28,4,2006
2006-04-28,0,0,1,0,0,0,0,0,1,28,4,2006
2006-05-03,1,0,1,0,0,1,0,1,0,3,5,2006
2006-05-03,0,0,1,0,0,1,0,0,0,3,5,2006
2006-05-03,1,0,1,0,0,1,0,1,1,3,5,2006
2006-05-06,0,0,1,0,0,0,0,0,0,6,5,2006
2006-05-08,0,0,1,0,0,1,0,1,0,8,5,2006
2006-05-08,1,0,0,0,0,0,0,0,1,8,5,2006
2006-05-13,0,0,0,0,0,0,0,1,0,13,5,2006
2006-05-14,0,0,1,0,0,0,0,0,0,14,5,2006
2006-05-15,0,0,1,0,0,0,0,0,1,15,5,2006
2006-05-16,0,0,1,0,0,0,0,0,1,16,5,2006
2006-05-18,0,0,1,0,0,0,0,0,0,18,5,2006
2006-05-18,0,0,0,0,0,0,0,0,0,18,5,2006
2006-05-22,0,0,0,0,0,0,0,1,0,22,5,2006
2006-05-23,0,0,1,0,0,0,0,1,0,23,5,2006
2006-05-24,0,0,1,0,0,0,0,0,0,24,5,2006
2006-05-27,0,0,0,0,0,1,0,1,0,27,5,2006
2006-05-30,0,0,0,0,0,0,0,0,0,30,5,2006
2006-06-01,0,0,0,0,0,0,0,0,0,1,6,2006
2006-06-01,0,0,0,0,0,0,0,0,0,1,6,2006
2006-06-03,1,0,1,0,0,0,0,0,1,3,6,2006
2006-06-05,0,0,0,1,0,0,0,0,1,5,6,2006
2006-06-06,0,0,0,0,0,0,1,1,0,6,6,2006
2006-06-06,0,0,0,1,0,0,1,0,0,6,6,2006
